benchmark,model,dataset,pred_len,variant,metric,mean,std,n_seeds
long_term_forecast,ME-LLM,Traffic,336,full,MSE,0.421,,10
long_term_forecast,ME-LLM,Traffic,336,full,MAE,0.29,,10
long_term_forecast,ME-LLM,Traffic,720,full,MSE,0.432,,10
long_term_forecast,ME-LLM,Traffic,720,full,MAE,0.295,,10
zero_shot,ME-LLM,ETTh1->ETTh2,,full,MSE,0.351,,10
zero_shot,ME-LLM,ETTm1->ETTm2,,full,MSE,0.262,,10
ablation,ME-LLM,ETTh1,96,Full Model,MSE,0.395,,10
ablation,ME-LLM,ETTh1,96,Full Model,MAE,0.407,,10
ablation,ME-LLM,ETTh1,96,w/o Prompt,MSE,0.405,,10
ablation,ME-LLM,ETTh1,96,w/o Prompt,MAE,0.414,,10
ablation,ME-LLM,ETTh1,96,w/o LLM,MSE,0.396,,10
ablation,ME-LLM,ETTh1,96,w/o LLM,MAE,0.409,,10
ablation,ME-LLM,ETTh1,96,w/o Multimodal,MSE,0.413,,10
ablation,ME-LLM,ETTh1,96,w/o Multimodal,MAE,0.431,,10
ablation,ME-LLM,ETTh1,192,Full Model,MSE,0.423,,10
ablation,ME-LLM,ETTh1,192,Full Model,MAE,0.425,,10
ablation,ME-LLM,ETTh1,192,w/o Prompt,MSE,0.482,,10
ablation,ME-LLM,ETTh1,192,w/o Prompt,MAE,0.453,,10
ablation,ME-LLM,ETTh1,192,w/o LLM,MSE,0.455,,10
ablation,ME-LLM,ETTh1,192,w/o LLM,MAE,0.447,,10
ablation,ME-LLM,ETTh1,192,w/o Multimodal,MSE,0.454,,10
ablation,ME-LLM,ETTh1,192,w/o Multimodal,MAE,0.46,,10
ablation,ME-LLM,ETTh1,336,Full Model,MSE,0.454,,10
ablation,ME-LLM,ETTh1,336,Full Model,MAE,0.463,,10
ablation,ME-LLM,ETTh1,336,w/o Prompt,MSE,0.501,,10
ablation,ME-LLM,ETTh1,336,w/o Prompt,MAE,0.479,,10
ablation,ME-LLM,ETTh1,336,w/o LLM,MSE,0.492,,10
ablation,ME-LLM,ETTh1,336,w/o LLM,MAE,0.503,,10
ablation,ME-LLM,ETTh1,336,w/o Multimodal,MSE,0.514,,10
ablation,ME-LLM,ETTh1,336,w/o Multimodal,MAE,0.454,,10
ablation,ME-LLM,ETTh1,720,Full Model,MSE,0.463,,10
ablation,ME-LLM,ETTh1,720,Full Model,MAE,0.472,,10
ablation,ME-LLM,ETTh1,720,w/o Prompt,MSE,0.554,,10
ablation,ME-LLM,ETTh1,720,w/o Prompt,MAE,0.512,,10
ablation,ME-LLM,ETTh1,720,w/o LLM,MSE,0.563,,10
ablation,ME-LLM,ETTh1,720,w/o LLM,MAE,0.525,,10
ablation,ME-LLM,ETTh1,720,w/o Multimodal,MSE,0.532,,10
ablation,ME-LLM,ETTh1,720,w/o Multimodal,MAE,0.512,,10
ablation,ME-LLM,ETTh2,96,Full Model,MSE,0.302,,10
ablation,ME-LLM,ETTh2,96,Full Model,MAE,0.349,,10
ablation,ME-LLM,ETTh2,96,w/o Prompt,MSE,0.311,,10
ablation,ME-LLM,ETTh2,96,w/o Prompt,MAE,0.352,,10
ablation,ME-LLM,ETTh2,96,w/o LLM,MSE,0.305,,10
ablation,ME-LLM,ETTh2,96,w/o LLM,MAE,0.356,,10
ablation,ME-LLM,ETTh2,96,w/o Multimodal,MSE,0.324,,10
ablation,ME-LLM,ETTh2,96,w/o Multimodal,MAE,0.379,,10
ablation,ME-LLM,ETTh2,192,Full Model,MSE,0.379,,10
ablation,ME-LLM,ETTh2,192,Full Model,MAE,0.396,,10
ablation,ME-LLM,ETTh2,192,w/o Prompt,MSE,0.383,,10
ablation,ME-LLM,ETTh2,192,w/o Prompt,MAE,0.405,,10
ablation,ME-LLM,ETTh2,192,w/o LLM,MSE,0.381,,10
ablation,ME-LLM,ETTh2,192,w/o LLM,MAE,0.397,,10
ablation,ME-LLM,ETTh2,192,w/o Multimodal,MSE,0.38,,10
ablation,ME-LLM,ETTh2,192,w/o Multimodal,MAE,0.403,,10
ablation,ME-LLM,ETTh2,336,Full Model,MSE,0.396,,10
ablation,ME-LLM,ETTh2,336,Full Model,MAE,0.427,,10
ablation,ME-LLM,ETTh2,336,w/o Prompt,MSE,0.41,,10
ablation,ME-LLM,ETTh2,336,w/o Prompt,MAE,0.432,,10
ablation,ME-LLM,ETTh2,336,w/o LLM,MSE,0.415,,10
ablation,ME-LLM,ETTh2,336,w/o LLM,MAE,0.437,,10
ablation,ME-LLM,ETTh2,336,w/o Multimodal,MSE,0.405,,10
ablation,ME-LLM,ETTh2,336,w/o Multimodal,MAE,0.429,,10
ablation,ME-LLM,ETTh2,720,Full Model,MSE,0.402,,10
ablation,ME-LLM,ETTh2,720,Full Model,MAE,0.436,,10
ablation,ME-LLM,ETTh2,720,w/o Prompt,MSE,0.415,,10
ablation,ME-LLM,ETTh2,720,w/o Prompt,MAE,0.443,,10
ablation,ME-LLM,ETTh2,720,w/o LLM,MSE,0.453,,10
ablation,ME-LLM,ETTh2,720,w/o LLM,MAE,0.472,,10
ablation,ME-LLM,ETTh2,720,w/o Multimodal,MSE,0.475,,10
ablation,ME-LLM,ETTh2,720,w/o Multimodal,MAE,0.486,,10
